@Username,Tweet,Lokasi
SupianAang,@geloraco Seharusnya cak Imin malu,Tangsel
ArmansyahAmir5,"Cak Imin Serap Aspirasi Civitas Akademika Universitas Trunojoyo Madura

@cakimiNOW @imansyukri @FraksiPKB @dpw_pkbsumut @dpwBagusSumut @BaGusMuhaimin1 @ErwinLoebis77 @LilisRito @Andiarman_p @SamsudinHaraha7
 https://t.co/jbXkUspHE4.",
myputun,"Jika Prabowo Bersanding dengan Puan, Cak Imin Kemungkinan Akan Mengalah https://t.co/GzLt5cwoXt",
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/gU9C85XaiE,
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/9LSiDNqHfz,
ayub_elgenaro,Cak Imin Serap Aspirasi Civitas Akademika Universitas Trunojoyo Madura https://t.co/di1Ts9LUhG,
rmp_officials,"Sore ini para seniman Madiun akan menyerahkan mandat kepada Cak Imin sebagai capres 2024

Bismillah Allahumma lancar lan sukses!

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 https://t.co/yqMn9FtcVe",
SoniSet34633857,"@na_dirs Urusan agama kami ikut kiayi NU, tp urusan partai rak sudi ikut cak imin yg menyakiti hati gus dur.",
KangFathanNow,"Cak Imin Serap Aspirasi Civitas Akademika Universitas Trunojoyo Madura, Rabu 22 Februari 2023.
#CakIminMelayani https://t.co/2rZq7DLuXX",Indonesia
billy4riez,Cak Imin Serap Aspirasi Civitas Akademika Universitas Trunojoyo Madura https://t.co/zhO2SecJTo,Jakarta
SoniSet34633857,"@na_dirs Kalau urusan keagamaan biarkan nahdiyin ikut madhab yg dianut NU. Tp urusan duniawi kayak pilihan parpol biarkan mereka menentukan pilihannya sendiri. Orang NU nggak harus pkb, apalagi pkb yg dicuri cak imin itu menyakiti warga NU yg cinta gua dur",
dumbq_,apa nasib cak om gus imin? 😌,Indonesia
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/P0OZApWCf6,
detik_jatim,"""Ya biasa aja, itu kan sama dari dulu ya, begitu emang. Nggak ada yang baru,"" kata Cak Imin usai acara Menjemput Pesan Kampus di Universitas Trunojoyo Madura

https://t.co/ucz7pOKb7a","Kota Surabaya, Jawa Timur"
Disuruh_Iben,Cak Imin Buka Suara soal Potensi Duet dengan Anies di Pilpres 2024 - detikcom https://t.co/xZLXsriwK4 #IndonesiaKuat #BangkitBersama,Pulau Impian
Disuruh_Iben,Prabowo dan Khofifah Terhalang Cak Imin | https://t.co/iB9b8JxWq6 - https://t.co/vZIWoTfBeY https://t.co/mePIPilRQ4 #IndonesiaKuat #BangkitBersama,Pulau Impian
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/aCf4KTxog2,
nickrasyidsr,"Kata Habis Ali Zainal Abidin Assegaf berarti selama ini Gus Muhaimin Iskandar @cakimiNOW subscribernya Azzahir

#azzahir #GusMuhaimiIskandar #zahirmania #cakimin https://t.co/ZlgwApoPJr",
rmp_officials,"Beda kalo Mbah Sujiwo Tejo yang pimpin forum; Cak Imin Menjemput Pesan Kampus di Universitas Trunojoyo Madura

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 https://t.co/XlqWsLfIui",
billy4riez,Respons Santai Cak Imin soal Gus Yahya Sebut Warga NU Tak Haram Pilih PAN https://t.co/4ixTRiJK92,Jakarta
rmol_id,"Jika Prabowo Bersanding dengan Puan, Cak Imin Kemungkinan Akan Mengalah https://t.co/YcIMaOliBy",Indonesia
DSapoetra,"@OposisiCerdas Yg jadi masalah,
Emang ada yg mau milih cak imin? 😆😆","DKI Jakarta, Indonesia"
